-aĉ-;<i>(disparagement)</i>
stebmaŝino;sewing machine
ŝteli;steal, thieve
stelo;star
stelo;star
stelulo;star (of film)
sterlingo;sterling
stevardo;steward (on ship, plane)
stomakacideco;indigestion
stomakdoloro;stomach-ache
stomako;stomach
ŝtono;stone
ŝtopilo;(<i>e.g.</i> bath) plug
ŝtormo;storm
strando;beach, shore
strato;street
strebi (al);strive (for)
strikta;tight, close-fitting | stringent
strukturo;structure
ŝtrumpo;stocking
studanto;student (one who is studying)
studento;(university) student
studi;study
studjaro;academic year
studobjekto;subject (of study)
stulta;dull, stupid, silly
stultaĵo;stupidity
ŝtupareto;step-ladder
ŝtuparo;staircase
ŝtupo;step
sub;under
subĉiela;open-air
subita;sudden
subpasejo;underpass
subskribi;sign
subskribi;sign
substantivo;noun, substantive
subtaso;saucer
subteni;support | second (a motion)
subteretaĝo;basement
subterfervojo;underground railway, metro
sudo;South
suferi;suffer
sufiĉa;sufficient, enough
sufikso;suffix
sufleo;soufflé
sufoki;suffocate, choke <i>(tr)</i>
sugesti;suggest
sukcesi;succeed
sukeraĵo;confectionery
sukero;sugar
sukerujo;sugar bowl
ŝultro;shoulder
sumo;sum
sunbruliĝo;sunburn
sunbruniĝa oleo.....;sun-tan oil
suno;sun
sunvitroj;sunglasses
ŝuo;shoe
super;on | above
supera;superior
superbazaro;supermarket
superpasejo;overpass
suplemento;supplement
supo;soup
supozi;suppose | presume
supren;up(wards)
sur;on, upon
surbendigi;record (on tape)
surprizi;surprise
surprizo;surprise
surprovi;try on
surtabligi (la servicon);lay the table
surteriĝi;land (<i>e.g.</i> plane)
ŝuti;pour out, tip over <i>(tr)</i>
ŝuti;pour out, tip out <i>(tr)</i>
ŝutro;(window) shutter
Svedio;Sweden
svelta;slim, slender
sveni;swoon, faint | disappear
svingi;wave, brandish | fling
svingi (la manon);wave
Svisio;Switzerland
Svislando;Switzerland
Sviso;Swiss (man)
t-ĉemizo;tee-shirt
T.E.J.O.;<i>Tutmonda Esperantista Junulara Organizo</i> = World Organisation of Young Esperantists
tabako;tobacco
tablo;table
tablojdo;tablet (aspirin <i>etc.</i>)
tabloteniso;table tennis
tabureto;stool
tagmanĝo;lunch
tagmezo;midday
tago;day
tajloro;tailor
tajpilo;typewriter
tajpisto;typist
taksi;estimate, value (at) | rate
taksio;taxi, cab
talento;talent
tamburo;drum
tamen;however, nevertheless
Tamizo;Thames
tapioko;tapioca
tapiŝeto;rug
tapiŝo;carpet
tarifo;tariff
tarifo;tariff
taso;cup
taŭgi;be fit for, be of use, serve, do
teamo;team
teatraĵo;play (in theatre)
teatro;theatre
teda;boring, tedious
teda;boring, tedious
tegmento;roof
teknika;technical
teknologio;technology
tekruĉo;teapot
telefonbudo;telephone box
telefoni;telephone
telefonisto;telephonist
telefonlibro;telephone directory
telefono;telephone
telegramo;telegram
teleraro;(set of) plates, dishes
telero;plate
telertuko;dishcloth
televidi;watch television
televidilo;television (the apparatus)
televidkanalo;television channel
televido;television (the medium)
temanĝo;tea (meal)
temperaturo;temperature
temperaturo;temperature
tempesto;storm, tempest
templo;temple | place of worship
tempo;time
tendo;tent
tendumi;camp
teniso;tennis
teo;tea
teraso;terrace
teretaĝo;ground floor
termometro;thermometer
termometro;thermometer
terni;sneeze
terplano;groundplan
terpomflokoj;(potato) crisps
terpomo;potato
terure;terribly
testudo;tortoise
tia;such, that kind of
tial;thus, therefore, so, for that reason
tiam;then, at that time
tie;there
tiel;in that manner
tien;to there
tien kaj reen;there and back
ties;than one's
tigro;tiger
timi;fear
tio;that
tiom (da);so much, so many
tipa;typical
tirani;bully
tiru!;"pull!"
tiu;that one, that
toasto;toast (bread)
tobogano;toboggan
tolaĵo;linen, lingerie
tolereble;tolerably
tomato;tomato
tombejo;cemetery, churchyard
tondi;shear, clip, cut (with scissors)
tordi;twist <i>(tr)</i>
tornistro;knapsack | satchel
torto;tart, pie, gateau
tosti;toast (drink to someone's health)
tra;through
traduki;translate
trafiklumoj;traffic lights
trafiko;traffic
trafikŝtopiĝo;traffic jam
tragedio;tragedy
trajno;train
trakeo;trachea, windpipe
trakonekti;connect, put through (a phone call)
tramo;tram
tramvojo;tramway
tranĉaĵo;slice
tranĉi;cut (with knife, <i>etc.</i>)
tranĉilo;knife
tranokti;spend the night, overnight
trans;across
transdoni;pass, hand over
transiri;pass through, go via
transvesti (sin).....;change (ones) clothing
trapasi;pass through
trefkruciĝo;intersection
trejni;coach, train
tri;three
triki;knit <i>(tr)</i>
trikita;knitted
trimestro;term
trinkaĵo;drink
trinkakvo;drinking water
trinki;drink
trinkmono;tip, gratuity
tripo;tripe | gut
trista;sad
tro;too, too much
troigi;exaggerate
trolebuso;trolleybus
trombono;trombone
troteti;jog, jog-trot
trotuaro;pavement, sidewalk
trovi;find
trovi;find
troviĝi;be found
trumpeto;trumpet
truto;trout
tualeto;toilette
tubo;tube, pipe | (gun) barrel
tuj;immediately
tuko;cloth
turisma servo;tourist service
turisto;tourist
turni;turn <i>(tr)</i>
turo;tower
tuso;cough
tute;completely, wholly
U.E.A.;<i>Universala Esperanto-Organizo</i> = World E-o Organisation
U.K.;<i>Universala Kongreso</i> = World Congress
ungo;nail | claw
ungvento;ointment, unguent
unidirekta;one way
universala;universal, world-wide
universala;universal | world
universitato;university
unu;one
unua;first
unuagrada;primary
unue;firstly
unulita ;single (room)
urbo;town, city
urbocentro;city centre
urbodomo;town hall
urino;urine
urso;bear
Urugvajo;Uruguay
usonano;(north) American
Usono;the United States, USA
utila;useful
uzi;use
vagadi;wander
vagonaro;train
vagono;(railway) coach, carriage
vak(ant)a;vacant
vaki;be vacant
validi;be valid
valizo;suitcase, grip
valo;valley
valo;valley
valuto;currency | foreign exchange
vango;cheek
vanilo;vanilla
varma;warm | hot
varo;commodity | (item of) wares, merchandise
Varsovio;Warsaw
vato;cotton wool, wadding | (<i>elec.</i>) Watt
vazlesivo;washing up liquid
vazo;container | vase | (item of) crockery
VD.;<i>Vicdelegito</i> = deputy Delegate
vegetalano;vegan
vegetarano;vegetarian
vekhorloĝo;alarm clock
veki;arouse, wake up <i>(tr)</i>
vekiĝi;wake up
velado;sailing
veliri;sail
vendaŭtomato;vending machine
vendi;sell <i>(tr)</i>
vendisto;salesperson
vendisto;salesperson
vendredo;Friday
Venezuelo;Venezuela
veni;come
venigi;bring, fetch, get, send for
venki;win (against), conquer | defeat
venonta;next, forthcoming
vento;wind
ventro;belly, tummy
ventŝirmilo;windbreak
verbo;verb
verda;green
verda koro;green heart (solid Esperantist)
verda stelo;green star (symbol of Esperanto)
verdeco;greenness (Esperanto matters)
vere;truly
verki;compose, write (essay, report, verse, play, <i>etc.</i>)
verki;compose, write (essay, report, verse, play, <i>etc.</i>)
vermuto;vermouth
vero;truth
verŝajna;probable, likely
verŝi;pour <i>(tr)</i> (liquids) | shed, scatter
vespermanĝo.....;dinner, evening meal
vespero;evening
vestaĵoj;clothing
vesti (sin);clothe, dress (oneself)
vestiblo;(entrance) hall, lobby
vestoŝranko;wardrobe
veterinaro;vet
vetero;weather
veterprognozo;weather forecast
veturi;go, travel (by vehicle) <i>(intr)</i>
veturigi;drive (a vehicle) | convey
veturilo;vehicle
veziko;bladder | bubble
vi;you
via;your, yours
viadukto;viaduct
viandisto;butcher (meat worker)
viandknelo;meatball
viando;meat
vicparencoj;step-relatives
vidanto;viewer
vidbendaparato;video recorder
videbleco;visibility
vidi;see
vidinda;worth watching/seeing
vidindaĵo;place of interest, sight
vidpunkto;viewpoint
vilaĝo;village
vinagro;vinegar
vinbero;grape
vino;wine
vintro;winter
vintro;winter
viola;violet
violonĉelo;cello
violono;violin
viro;man
viskio;whiskey
vitrino;(glass) show-case
vitro;glass (material) | (eye)glass
vivanta;living
vivo;life
vivo;life
vizaĝo;face
vizitadi;attend regularly
viziti;visit
vizito;visit
vizito;visit
voĉdoni;vote
voĉlegi;read aloud
voĉo;voice
voĉo;voice
vodko;vodka
vojaĝanto;traveller
vojaĝbileto;journey ticket
vojaĝĉeko;travellers cheque
vojaĝi;travel
vojerari;get lost, take wrong turning
vojkruciĝo;crossroad
vojo;way, road, route
vojo;way, road, route
vojolaborejo;roadworks
vojŝildo;road sign
volanludo;badminton
volapukaĵo;incomprehensible words, "all Greek to me".
volapuko;Volapük (predecessor, and competitor, to E-o)
volejbalo;volleyball
voli;want (to), be willing, choose (to)
volonte;willingly
vomi;vomit, throw up
vortaro;dictionary
vortfarado;word-building, word creation
vorto;word
vortprovizo;vocabulary
vortstoko;vocabulary
vosto;tail
vundo;wound
zebro;zebra
zebrostria pasejo;zebra crossing
zono;belt | zone
zoologio;zoology
zorgi;care for | be concerned over | be anxious about
